,Title,Date,Author,Summary
1409,ASIAN MORNING BRIEF 1/1: LME recommends Rusal suspension be lifted; alumina index drops; zinc TCs hit multiyear highs,1/1/2019,Dalton Barker,"The latest news and price moves to start the Asian day on Tuesday January 1.

"
1403,LIVE FUTURES REPORT 02/01: Comex copper suffers from weak manufacturing reports,1/2/2019,Dalton Barker,Comex copper futures softened in the first trading day of the new year in the United States amid disappointing Chinese manufacturing results and persistent weakness in US stocks.
1405,Erus Metals USA withdraws from LME warehouse services,1/2/2019,Alice Mason,"Erus Metals USA LLC has withdrawn from London Metal Exchange warehouse services, the exchange said on Tuesday January 1."
1406,"SHFE vs LME physical arbitrage 02/01: Copper, aluminium, zinc, nickel",1/2/2019,Ellie Wang,"Arbitrage for copper, aluminium, zinc and nickel imported into China on Wednesday January 2* "
1407,"LIVE FUTURES REPORT 02/01: LME base metals downbeat despite equity market bounce; zinc price falls below $2,400/t ",1/2/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mostly lower during morning trading on Wednesday January 2, pressured by a slump in Asian markets amid poor economic data while a modest recovery in US stock market futures indices did little to improve negative sentiment. "
1408,"LIVE FUTURES REPORT 02/01: Disappointing Chinese data sinks most SHFE base metals; lead, nickel prices little changed",1/2/2019,Huaqing Fu,"Base metals prices on the Shanghai Futures Exchange were broadly down during Asian morning trading on Wednesday January 2, the first trading day of the new year, after disappointing Chinese data provided further evidence of slowing growth in the world’s second-largest economy."
1402,"ALUMINIUM ARB INDICATOR: Arb window narrows on falling LME prices, US Midwest premiums",1/2/2019,Alice Mason,The aluminium import arbitrage between the United States and Asia narrowed slightly in December due to the lower ocean-freight rates only partly offsetting the lower Midwest aluminium premiums.
1401,"LIVE FUTURES REPORT 02/01: Nickel, tin futures gain support in weak London close; LME lead price falls 3%",1/2/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mostly lower at the close of trading on Wednesday January 2, under pressure from upward momentum in the United States dollar index although a marginal downturn in US equity markets hindered buying sentiment.
"
1400,Impact of US Section 232 tariffs felt globally,1/2/2019,"Fastmarkets AMM staff, Felipe Peroni, Maria Tanatar, Nat Rudarakanchana, Miranda Song","The Section 232 tariffs implemented in the United States in 2018 led to a sharp increase in domestic steel prices, driving the hot-rolled coil index to a nearly 10-year peak in July. But how did the tariffs impact the rest of the global supply chain? Fastmarkets’ regional experts gave us answers."
1404,PRICING NOTICE: Pricing schedule clarification for Fastmarkets' Rotterdam duty-paid aluminium premium,1/2/2019,Perrine Faye,"Fastmarkets would like to clarify that its Rotterdam duty-paid P1020 aluminium premium assessment for Tuesday January 1 was published on Monday December 31, 2018 instead."
1392,LIVE FUTURES REPORT 03/01: LME copper price down 1.8% in mixed trading; aluminium climbs 2%,1/3/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mixed at the close of trading on Thursday January 3, with copper futures sinking to their lowest level since June 2017, while tin’s three-month price climbed to a four-month high. 

"
1393,LIVE FUTURES REPORT 03/01: Comex copper declines further,1/3/2019,Dalton Barker,"Comex copper suffered a third straight decline this morning in the United States to begin the New Year, with continued recession worries and equity market instability sinking the commodities complex."
1394,LME secures route to continue clearing activity after Brexit,1/3/2019,Hassan Butt,"The London Metal Exchange and its clearing entity, LME Clear, will continue their efforts to guarantee clearing services after the United Kingdom leaves the European Union in the process known as Brexit, Fastmarkets heard on Thursday January 3.
"
1398,LIVE FUTURES REPORT 03/01:  Bearish sentiment continues to pressure SHFE base metals prices; nickel outperforms,1/3/2019,Amy Lv,Base metals prices on the Shanghai Futures Exchange were mostly down during Asian morning trading on Thursday January 3 amid lingering concerns over slowing economic growth in China after the release of disappointing manufacturing data from the country earlier this week.
